Company,TypeName,Ram,OpSys,Weight,TouchScreen,Ips,Cpu_Speed,Cpu_Type,Gpu_vender,HDD,SSD,ppi,Price_USD
Apple,Ultrabook,8,macOS,1.37,0,1,2.3,Intel Core i5,Intel,0,128,226.98300468106115,1406.67
Apple,Ultrabook,8,macOS,1.34,0,0,1.8,Intel Core i5,Intel,0,0,127.67794013309688,943.89
HP,Notebook,8,No OS,1.86,0,0,2.5,Intel Core i5,Intel,0,256,141.21199808219862,603.75
Apple,Ultrabook,16,macOS,1.83,0,1,2.7,Intel Core i7,AMD,0,512,220.53462386625827,2664.32
Apple,Ultrabook,8,macOS,1.37,0,1,3.1,Intel Core i5,Intel,0,256,226.98300468106115,1893.78
Acer,Notebook,4,Windows 10,2.1,0,0,3.0,AMD Processor,AMD,500,0,100.45466986113652,420.0
Apple,Ultrabook,16,macOS,2.04,0,1,2.2,Intel Core i7,Intel,0,0,220.53462386625827,2246.97
Apple,Ultrabook,8,macOS,1.34,0,0,1.8,Intel Core i5,Intel,0,0,127.67794013309688,1216.64
Asus,Ultrabook,16,Windows 10,1.3,0,0,1.8,Intel Core i7,Nvidia,0,512,157.3505121487356,1569.75
Acer,Ultrabook,8,Windows 10,1.6,0,1,1.6,Intel Core i5,Intel,0,256,157.3505121487356,808.5
HP,Notebook,4,No OS,1.86,0,0,2.5,Intel Core i5,Intel,500,0,100.45466986113652,413.6
HP,Notebook,4,No OS,1.86,0,0,2.0,Intel Core i3,Intel,500,0,141.21199808219862,362.24
Apple,Ultrabook,16,macOS,1.83,0,1,2.8,Intel Core i7,AMD,0,256,220.53462386625827,2561.97
Dell,Notebook,4,Windows 10,2.2,0,0,2.0,Intel Core i3,AMD,0,256,141.21199808219862,523.84
Apple,Ultrabook,8,macOS,0.92,0,1,1.2,Other Intel Processor,Intel,0,256,226.4155471693585,1325.52
Apple,Ultrabook,8,macOS,1.37,0,1,2.3,Intel Core i5,Intel,0,256,226.98300468106115,1594.48
Dell,Notebook,8,Windows 10,2.2,0,0,2.7,Intel Core i7,AMD,0,256,141.21199808219862,782.25
Apple,Ultrabook,16,macOS,1.83,0,1,2.9,Intel Core i7,AMD,0,512,220.53462386625827,3000.9
Lenovo,Notebook,8,No OS,2.2,0,0,2.4,Intel Core i3,Nvidia,1000,0,141.21199808219862,523.95
Dell,Ultrabook,8,Windows 10,1.22,1,1,1.6,Intel Core i5,Intel,0,128,165.6321180513006,1027.95
Asus,Netbook,2,Windows 10,0.98,0,0,1.44,Other Intel Processor,Intel,0,0,135.0942111925629,201.5
Lenovo,Gaming,8,Windows 10,2.5,0,1,2.5,Intel Core i5,Nvidia,1000,128,141.21199808219862,1048.95
HP,Notebook,4,No OS,1.86,0,0,1.5,AMD Processor,AMD,500,0,100.45466986113652,270.9
Dell,2 in 1 Convertible,8,Windows 10,1.62,1,0,1.6,Intel Core i5,Intel,0,256,165.6321180513006,859.95
HP,Ultrabook,8,Windows 10,1.91,0,0,1.8,Intel Core i7,Intel,0,256,141.21199808219862,691.95
Dell,Notebook,4,Windows 10,2.3,0,0,2.0,Intel Core i3,Intel,1000,0,100.45466986113652,439.57
Apple,Ultrabook,8,macOS,1.35,0,0,1.6,Intel Core i5,Intel,0,0,127.67794013309688,1153.95
Dell,Notebook,8,Windows 10,2.2,0,0,1.6,Intel Core i5,AMD,0,256,141.21199808219862,840.0
Dell,Ultrabook,8,Windows 10,1.88,0,0,1.9,Intel Core i7,Intel,0,512,141.21199808219862,1362.9
HP,Notebook,8,Windows 10,2.5,0,0,1.6,Intel Core i5,Nvidia,1000,0,127.33567457123112,940.8
Chuwi,Notebook,4,Windows 10,1.89,0,0,1.44,Other Intel Processor,Intel,0,0,141.21199808219862,257.24
Asus,Notebook,2,Windows 10,1.65,0,0,1.5,AMD Processor,AMD,0,0,111.93520355955212,208.95
HP,Notebook,4,Windows 10,2.71,0,0,2.5,AMD Processor,AMD,500,0,127.33567457123112,460.95
Dell,Ultrabook,16,Windows 10,1.2,1,0,1.8,Intel Core i7,Intel,0,512,276.053530085501,1962.45
Apple,Ultrabook,8,macOS,1.35,0,0,1.6,Intel Core i5,Intel,0,0,127.67794013309688,1047.9
Lenovo,Notebook,4,Windows 10,1.44,0,0,1.1,Other Intel Processor,Intel,0,0,111.93520355955212,261.45
Acer,Notebook,4,Linux,2.1,0,0,2.7,Intel Core i3,Intel,1000,0,100.45466986113652,385.35
Dell,Notebook,8,Windows 10,2.8,0,1,1.6,Intel Core i5,AMD,1000,128,127.33567457123112,1027.95
HP,Notebook,4,Windows 10,1.86,0,0,2.5,Intel Core i5,Intel,1000,0,100.45466986113652,513.12
HP,Notebook,8,Windows 10,2.1,0,0,1.6,Intel Core i5,Nvidia,0,256,141.21199808219862,922.95
Asus,Notebook,4,Linux,2.0,0,0,2.0,Intel Core i3,Intel,1000,0,141.21199808219862,408.45
Dell,Gaming,16,Windows 10,2.65,0,1,2.8,Intel Core i7,Nvidia,1000,256,141.21199808219862,1573.95
Asus,Notebook,8,Linux,2.3,0,0,2.5,Intel Core i5,Nvidia,1000,0,100.45466986113652,549.14
Acer,Notebook,4,Windows 10,2.2,0,1,1.6,Intel Core i5,Intel,0,256,141.21199808219862,716.1
Dell,2 in 1 Convertible,12,Windows 10,2.77,1,0,1.6,Intel Core i5,Nvidia,1000,0,127.33567457123112,1048.95
Apple,Ultrabook,8,macOS,1.37,0,1,2.0,Intel Core i5,Intel,0,256,226.98300468106115,1489.95
Lenovo,Notebook,4,No OS,2.2,0,0,2.0,Intel Core i3,Intel,0,128,100.45466986113652,387.45
Asus,Gaming,8,Windows 10,3.2,0,0,3.0,AMD Processor,AMD,1000,256,127.33567457123112,1363.95
